"How many hours of programming are you doing per week on average",,,"What programming languages do you use?",,,"What Version Control System do you primarily use?","If your primary work involves programming, then the company that you work at","What IDE or editor do you primarily use for programming?","If you use more than one IDE, what other IDE/editors do you commonly use?",,,"Name other IDE/editors that you have used before",,,"What features do you value the most in your primary editor?","What kind of programming language integration do you value the most in your primary editor?","What features would you like to have in your editor that it doesn't have?","How customized is your editor?","What are the primary reasons that you use editors/IDEs other than your primary?","How do you primarily use your Version Control System?","What are the reasons you are not switching to a different IDE/editor?","If your primary editor/IDE suddenly disappears, what editor/IDE would you use instead?","Have you ever used commercial IDE or editor?","Would you consider using a commercial IDE or editor?","What kind of programming language integration do you value the most in your primary editor?","What kind of programming language integrations would you like to have or have improved in your editor?","If you would be willing to buy a commercial IDE or editor yourself, how much would you be willing to pay for it?"
40,0,0,"C",,,"git","Does programming as part of it's core activities ","VIM",,,,"Visual Studio","Borland C",,"It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Refactoring","Refactoring","It is extensively configured and I have lots of third-party plugins","I don't use other editors/IDEs","Directly through terminal","I don't feel like switching at all, There is no reason to switch actually.","Any text editor","Yes, I have personally bought it","No",,"Refactoring","more than $500"
0,8,0.5,"C","Bash","TCL","Git","I am a student or unemployed","VIM",,,,,,,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It can be used in terminal","Syntax highlighting","Support for many programming languages, Better default configuration","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","Sublime","No, but I tried trial versions","Yes, I would buy it myself",,"Auto-completion, Debugging",50
50,8,8,"javascript","c","dart","git","Does programming as part of it's core activities ","Sublime Text","Vim","TextMate",,"Visual Studio","RubyMine",,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Tools to navigate the code (go to definition, find uses)","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers","Directly through terminal","Sublime satisfies all my needs","Vim","Yes, my employer bought it","Yes, I would buy it myself",,"Refactoring, Debugging, Test integration",50
10,0,20,"php","java","c++","git","Is primarily doing programming ","netbeans","netbeans","eclipse","visual studio","android studio","qt designer","vim","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance, Integration with version control system, Configurability","It is extensively configured and I have lots of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","IDEA","No, but I tried trial versions","Yes, if my employer buys it for me",,"Code formatting, Refactoring, Test integration",25
28,0,20,"c#","javascript","rust","git","My primary job is something else than programming","Monodevelop","Visual Studio",,,"Eclipse","IDEA",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Debugging, Build tool(s) integration","Rich plugins ecosystem","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"na",25
40,0,20,"javascript","c#","html","git","Sometimes supports other activities with programming or IT","sublime","visual studio","nano",,"editplus","notepad",,"It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion, intellisense","Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use, stability","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better, I use it for editing code on remote servers","Directly through terminal","nothing better","notepad","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, stability",25
8,0,6,"ruby","javascript",,"git","I am a researcher","vim",,,,"kate","gwbasic",,"It supports many programming languages, Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","none","There is some configuration and couple of third-party plugins",,"Directly through terminal","IDEs are too complex; too magical","emacs","Yes, my employer bought it","No",,"none",
8,8,8,"Python","C++",,"git","I am a student or unemployed","vim","vi","textmate",,"Visual Studio","Eclipse",,"It can be used in terminal, It is very configurable, Snippets, Splits, Macros","Auto-completion","Better default configuration","There is some configuration and couple of third-party plugins","I had to","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Sublime Text","Yes, my employer bought it","No",,"Debugging",50
40,4,8,"Java","Scala","JavaScript","svn","Is primarily doing programming ","Eclipse",,,,"Vim","Qt",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","Auto-completion, Debugging, Test integration","Ability to use it in terminal","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","My workflow is too integrated into my current editor","IntelliJ","No, but I tried trial versions","Yes, I would buy it myself",,"Code formatting",100
40,14,10,"Objective C","Javascript","C++","git","Does programming as part of it's core activities ","Sublime Text","XCode",,,"Emacs","Vim","Notepad++","It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins",,"From some other application","Other editors lack some features that my editor have","XCode","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring, Code generation, Build tool(s) integration",25
38,0,0,"JADE","VB.NET","JavaScript","Team Foundation Server","Does programming as part of it's core activities ","Visual Studio","JADE","WebStorm",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates with version control system","Syntax highlighting, Auto-completion, Debugging","None","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","From the primary editor","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","No idea","Yes, my employer bought it","Yes, if my employer buys it for me",,"None",50
50,0,10,"Groovy","Ruby","Python","Git","Does programming as part of it's core activities ","Sublime Text 2","IDEA","RubyMine","TextMate","X Code","UltraEdit",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Better default configuration","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","Too much effort learning new editors, Too much effort configuring new editors","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration",50
12,0,8,"c++","javascript ","ruby","git","Is primarily doing programming ","vim","sublime text 3","notepad++","IDEA",,,,"Powerful editing functionality, There are lots of plugins available, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","sublime text 3","Yes, I have personally bought it","Yes, I would buy it myself",,"Debugging, Build tool(s) integration, Interactive console/REPL",100
35,5,5,"php","java","c","git","Is primarily doing programming ","netbeans","sublime","gedit","nano","geany","vim",,"It supports many programming languages, Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Auto-completion, Code formatting, Debugging","Integration to build tool(s) that I use, Better default configuration","It is extensively configured and I have lots of third-party plugins","better file search ability","Directly through terminal","learning curve","sublime","No, never","Yes, I would buy it myself",,"Refactoring, Code generation, Documentation for language or libraries inside the editor",50
30,0,0,"C#","php",,"StarTeam","Is primarily doing programming ","Visual Studio","Notepad++",,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Auto-completion, Debugging, Documentation for language or libraries inside the editor","Faster start up and overall performance","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","From some other application","Other editors don't support my languages of choice very well, My workflow is too integrated into my current editor","?","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring",5
40,0,10,"ruby","D",,"git","Does programming as part of it's core activities ","vim",,,,"eclipse","scintilla","visual studio","It supports many programming languages, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","client/server model (share sessions between different instances)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","something lightweight i can use from the terminal","No, but I tried trial versions","No",,"Interactive console/REPL",
20,0,8,"python","C++",,"git","I am a researcher","vim",,,,"kdevelop","xcode","codewarrior","Powerful editing functionality, There are lots of plugins available, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Better default configuration","There is some configuration and couple of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","emacs","No, but I tried trial versions","Yes, I would buy it myself",,"Refactoring, Code generation",100
30,3,5,"JavaScript","Ruby","HTML/CSS","Git","Is primarily doing programming ","Sublime Text",,,,"TextMate","Aptana",,"It supports many programming languages, Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Code formatting, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Faster start up and overall performance","There is some configuration and couple of third-party plugins",,"Directly through terminal","I like my editor","TextMate 3","No, but I tried trial versions","Yes, I would buy it myself",,"Code formatting, Refactoring",50
20,5,5,"Objective-C","C","Lua","subversion","Does programming as part of it's core activities ","XCode","Emacs","Eclipse","Jed","Visual Studio","Netbeans","Delphi","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates to build tool(s) that I use","Syntax highlighting, Auto-completion, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Powerful editing functionality, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","Emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring, Test integration, Interactive console/REPL",100
45,0,1,"C++","Python","Perl","Git","Is primarily doing programming ","vim","MS Visual Studio",,,"Eclipse","Borland",,"It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast, Vim emulation mode","Syntax highlighting, Code formatting, Debugging","Tools to navigate the code (go to definition, find uses)","It's almost the same from the stock configuration","for Windows programming","Directly through terminal","My workflow is too integrated into my current editor","emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion",5
50,10,5,"C#","Scala","Python","Git","Is primarily doing programming ","Visual Studio","Sublime Text","Xamarin Studio","Eclipse","IDEA","Xcode",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","Ability to use it in terminal, Cross Platform","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have","Xamarin Studio","Yes, my employer bought it","Yes, if my employer buys it for me",,"Interactive console/REPL",100
40,0,0,"Java","Python",,"git","Is primarily doing programming ","Emacs",,,,"Vim","IntelliJ",,"Powerful editing functionality, It intergrates with version control system, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins","Not available on remote server","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Refactoring, Debugging",25
45,5,5,"php","python","java","github","Does programming as part of it's core activities ","netbeans","phpstorm","pycharm",,"sublime text","IDEA",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It is very configurable","Auto-completion, Refactoring, Debugging","Support for many programming languages, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","IDEA","No, never","No",,"Interactive console/REPL",5
20,0,30,"Dylan","JavaScript","C++","Git","Is primarily doing programming ","IDEA","vim",,,"vim","Sublime Text","Textmate","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Auto-completion, Build tool(s) integration","Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal","Directly through terminal","I don't feel like switching at all","No idea","Yes, I have personally bought it","Yes, I would buy it myself",,"Build tool(s) integration, Interactive console/REPL, Documentation for language or libraries inside the editor",50
6,5,1,"c++","java","python","git","I am a student or unemployed","IDEA",,,,"visual studio","android studio",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance, Integration to build tool(s) that I use","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all","idea","No, but I tried trial versions","Yes, if my employer buys it for me",,"Syntax highlighting, Auto-completion",25
1,0,5,"python","go","bash","git","My primary job is something else than programming","vim",,,,"komodo",,,"It supports many programming languages, Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Integration with version control system","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have","emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Refactoring, Documentation for language or libraries inside the editor",50
10,0,1,"python","bash","javascript","git","Does programming as part of it's core activities ","PyCharm","Sublime Text","Geany",,"nedit","visual studio",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates with version control system","Syntax highlighting, Code formatting, Debugging","non-java plugins","There is some configuration and couple of third-party plugins","It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","geany","Yes, I have personally bought it","Yes, I would buy it myself",,"performance improvement",50
0,40,2,"Python","Java","C#","Git","I am a student or unemployed","Vim","Visual Studio","Eclipse","Sublime Text","Text Wrangler","Notepad++",,"It supports many programming languages, Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing","Directly through terminal","I don't feel like switching at all","Sublime Text","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Refactoring, Debugging",100
40,8,20,"Python","Scheme","Java","git","Is primarily doing programming ","Emacs","PyCharm","Netbeans",,"vim","Eclipse","Sublime Text","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From the primary editor","I don't feel like switching at all","PyCharm","No, never","No",,"Auto-completion, Refactoring",5
40,0,10,"javascript","C#","Clojure","git","Is primarily doing programming ","vim","Visual Studio","Eclipse","Brackets","Netbeans","Webstorm","XCode","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Integration to build tool(s) that I use","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","From some other application","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","Emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Test integration, Interactive console/REPL, Documentation for language or libraries inside the editor",
16,5,3,"Python","PHP","Javascript","git","Is primarily doing programming ","Pycharm","PHPStorm","SublimeText",,"Vim","Notepad++",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","Faster start up and overall performance","It's almost the same from the stock configuration","It's faster to use for small editing","From some other application","I don't feel like switching at all","Wing IDE","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Code formatting",50
69,0,10,"Python","Javascript","Lua","git","Does programming as part of it's core activities ","Sublime Text",,,,"Eclipse","Notepad++",,"Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have","Textmate","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration, Interactive console/REPL",100
38,0,8,"Java","Python","Javascript","svn","Is primarily doing programming ","Eclipse","Sublime","Notepad",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Refactoring, Test integration","Tools to navigate the code (go to definition, find uses), Faster start up and overall performance, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","My workflow is too integrated into my current editor, Too much effort learning new editors, Too much effort configuring new editors","Sublime","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring, Debugging, Build tool(s) integration",50
5,5,5,"c#","python",,"svn","My primary job is something else than programming","visual studio",,,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, There are lots of plugins available","Syntax highlighting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins",,"From some other application","My workflow is too integrated into my current editor","my penis","Yes, my employer bought it","Yes, I would buy it myself",,"Code formatting",5
40,0,2,"JavaScript","Groovy",,"git","Is primarily doing programming ","Sublime Text","IDEA",,,"Eclipse","Notepad++","Bluefish","Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Auto-completion, Code formatting, Debugging","Advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","TextMate","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring, Debugging, Documentation for language or libraries inside the editor",50
30,5,5,"C#","Javascript","CSS","Subversion","Is primarily doing programming ","Visual Studio","Web Storm","Sublime Text 3","Notepad++","PyCharm","TextMate 2","Xamarin Studio / MonoDevelop","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Auto-completion, Refactoring, Debugging","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing","From some other application","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","SharpDevelop?","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code generation, Test integration",
35,0,3,"Objective-C","C++","Python","git","Is primarily doing programming ","Xcode","Sublime Text","PyCharm",,"Visual Studio","Eclipse",,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It intergrates to build tool(s) that I use","Syntax highlighting, Debugging, Build tool(s) integration","Powerful editing functionality, Faster start up and overall performance, Configurability","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","None","Yes, my employer bought it","Yes, if my employer buys it for me",,"Refactoring, Interactive console/REPL",25
30,0,2,"Java","python","scala","cvs","Does programming as part of it's core activities ","Eclipse","Sublime",,,"Netbeans","IDEA",,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","From some other application","I don't feel like switching at all, Too much effort configuring new editors","IDEA","No, but I tried trial versions","Yes, I would buy it myself",,"Auto-completion, Interactive console/REPL",50
0,0,20,"common lisp","python","clojure","git","My primary job is something else than programming","emacs",,,,"vim",,,"It supports many programming languages, Powerful editing functionality, It is very configurable","Auto-completion, Refactoring, Interactive console/REPL","Advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","From the primary editor","I don't feel like switching at all, Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","vim","No, but I tried trial versions","No",,"Auto-completion",
40,0,20,"Java","ActionScript","JavaScript","git","Is primarily doing programming ","IntelliJ","Eclipse","SublimeText","Notepad++","Visual Studio","JBuilder","CBuilder","It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It starts up and works very fast","Syntax highlighting, Debugging, Test integration","Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all","Eclipse","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Test integration",50
40,0,10,"Python","Java","Javascript","git","Does programming as part of it's core activities ","Eclipse","PyCharm","Sublimetext2",,"Emacs","Textmate","IDEA","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting",100
20,2,4,"fortran","python","bash","git","I am a researcher","vim",,,,"emacs",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Integration to build tool(s) that I use","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","My workflow is too integrated into my current editor","emacs","No, but I tried trial versions","No",,"Refactoring, Interactive console/REPL",
0,20,0,"Go","Java","C","Git","I am a student or unemployed","Sublime Text 3","Vim",,,"Netbeans","Eclipse",,"Powerful editing functionality, It starts up and works very fast, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Faster start up and overall performance, Ability to use it in terminal","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","My workflow is too integrated into my current editor","Vim","No, but I tried trial versions","Yes, if my employer buys it for me",,"Syntax highlighting, Auto-completion, Build tool(s) integration",
40,10,5,"apex","haskell",,"svn","Sometimes supports other activities with programming or IT","vim","eclipse",,,"netbeans","visual studio","emacs","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Build tool(s) integration","Tools to navigate the code (go to definition, find uses)","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Auto-completion, Debugging",50
5,30,10,"Objective-C","Python","JavaScript","Git","I am a student or unemployed","Subime","IDEA","XCode",,"Emacs","PyCharm",,"It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion, Build tool(s) integration","Advanced language intergration (eg auto-completion, refactoring, building), Ability to use it in terminal, Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort configuring new editors","Vim","No, but I tried trial versions","Yes, if my employer buys it for me",,"Code formatting, Refactoring, Code generation",100
0,10,20,"Python","C++","FORTRAN","Git","My primary job is something else than programming","Notepad++","Sublime Text",,,"Visual Studio",,,"Powerful editing functionality, It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Integration with version control system","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From some other application","I don't feel like switching at all, My workflow is too integrated into my current editor","Sublime Text","No, but I tried trial versions","Yes, if my employer buys it for me",,"Auto-completion, Code formatting",
40,10,30,"php","python","javascript","git","Is primarily doing programming ","sublime",,,,"IDEA","emacs","eclipse","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Code formatting, Debugging","Advanced language intergration (eg auto-completion, refactoring, building), Better default configuration","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","emacs","Yes, I have personally bought it","Yes, I would buy it myself",,"Test integration, Interactive console/REPL, Documentation for language or libraries inside the editor",100
42.5,15,20,"php","c#","python","git","Does programming as part of it's core activities ","Vim","IDEA","Sublime Text","Visual Studio",,,,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Better default configuration","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","My workflow is too integrated into my current editor, Too much effort learning new editors","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Code generation",50
40,3,4,"Java","JavaScript","Python","svn, git","Is primarily doing programming ","IDEA","Sublime","AndroidStudio",,"XCode","Visual Studio","Eclipse","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Refactoring","Better default configuration","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","I don't feel like switching at all, Other's IDE UI is awful","Eclipse","Yes, my employer bought it","Yes, I would buy it myself",,"Refactoring, Code generation",100
0,0,10,"Python","Java",,"Git","I am a student or unemployed","IDEA","PyCharm","Sublime Text",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, There are lots of plugins available","Syntax highlighting, Auto-completion, Test integration","Advanced language intergration (eg auto-completion, refactoring, building), Powerful editing functionality, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It's faster to use for small editing","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have","Eclipse","No, but I tried trial versions","Yes, if my employer buys it for me",,"Code formatting, Refactoring, Test integration",50
50,5,5,"objective-c","java","clojure","osx","Is primarily doing programming ","appcode","emacs","intellij",,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Refactoring, Debugging","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","Directly through terminal","Other editors don't support my languages of choice very well","xcode","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring",100
10,1,5,"Java","C++","Go","git","Does programming as part of it's core activities ","Eclipse","Visual Studio","GoLite",,"Notepad++","Sublime Text","vim","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Auto-completion, Refactoring, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Rich plugins ecosystem, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","Emacs","Yes, I have personally bought it","Yes, if my employer buys it for me",,"Refactoring, Code generation, Documentation for language or libraries inside the editor",50
